categories                                     ;code                                      ;description
Equipment & Magic, Items, Cookbooks            ;Glintstone Craftsman's Cookbook (3)       ;A record of crafting techniques left by a glintstone craftsman who served the Academy. Acquire the knowledge to craft the following: - Albinauric Pot
Equipment & Magic, Items, Cookbooks            ;Glintstone Craftsman's Cookbook (4)       ;A record of crafting techniques left by a glintstone craftsman who served the Academy. Acquire the knowledge to craft the following: - Magic Pot
Equipment & Magic, Items, Cookbooks            ;Glintstone Craftsman's Cookbook (5)       ;"A record of crafting techniques left by a glintstone craftsman who served the Academy. Contains information on ""faux sorceries,"" such as they were called. Acquire the knowledge to craft the following: - Magic Grease "
Equipment & Magic, Items, Cookbooks            ;Glintstone Craftsman's Cookbook (6)       ;"A record of crafting techniques left by a glintstone craftsman who served the Academy. Contains information on ""faux sorceries,"" such as they were called. Acquire the knowledge to craft the following: - Freezing Pot "
Equipment & Magic, Items, Cookbooks            ;Glintstone Craftsman's Cookbook (7)       ;"A record of crafting techniques left by a glintstone craftsman who served the Academy. Contains information on ""faux sorceries,"" such as they were called. Acquire the knowledge to craft the following: - Coldbone Arrow "
Equipment & Magic, Items, Cookbooks            ;Glintstone Craftsman's Cookbook (8)       ;A record of crafting techniques left by a glintstone craftsman who served the Academy. Acquire the knowledge to craft the following: - Academy Magic Pot
Equipment & Magic, Items, Cookbooks            ;Missionary's Cookbook (1)                 ;A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: - Holy Water Pot
Equipment & Magic, Items, Cookbooks            ;Missionary's Cookbook (2]                 ;A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: - Scriptstone
Equipment & Magic, Items, Cookbooks            ;Missionary's Cookbook (3)                 ;A record of crafting techniques left by a man who, unable to  become a Finger Maiden, instead became a missionary, and went  forth to spread holy teachings. Acquire the knowledge to craft the following: - Silver-Pickled Fowl Foot
Equipment & Magic, Items, Cookbooks            ;Missionary's Cookbook (4)                 ;A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings.  Acquire the knowledge to craft the following: - Holy Grease
Equipment & Magic, Items, Cookbooks            ;Missionary's Cookbook (5)                 ;A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: - Sacred Order Pot
Equipment & Magic, Items, Cookbooks            ;Missionary's Cookbook (6)                 ;A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: - Holyproof Dried Liver
Equipment & Magic, Items, Cookbooks            ;Missionary's Cookbook (7)                 ;A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: - Rejuvenating Boluces
Equipment & Magic, Items, Cookbooks            ;Ancient Dragon Apostle's Cookbook (1)     ;A record of crafting techniques taught by the capital's ancient dragon cult. Acquire the knowledge to craft the following: - Lightning Grease
Equipment & Magic, Items, Cookbooks            ;Ancient Dragon Apostle's Cookbook (2)     ;A record of crafting techniques taught by the capital's ancient dragon cult. Acquire the knowledge to craft the following: - Lightning Pots
Equipment & Magic, Items, Cookbooks            ;Ancient Dragon Apostle's Cookbook (3)     ;A record of crafting techniques taught by the capital's ancient dragon cult. Acquire the knowledge to craft the following: - Dragonwound Grease
Equipment & Magic, Items, Cookbooks            ;Ancient Dragon Apostle's Cookbook (4)     ;A record of crafting techniques taught by the capital's ancient dragon cult. Acquire the knowledge to craft the following: - Ancient Dragonbolt Pot
Equipment & Magic, Items, Cookbooks            ;Perfumer's Cookbook (1)                   ;A record of crafting techniques left by a military perfumer. Acquire the knowledge to craft the following: - Spark Aromatic - Uplifting Aromatic <br/>
Equipment & Magic, Items, Cookbooks            ;Perfumer's Cookbook (2)                   ;A record of crafting techniques left by a depraved perfumer. Contains perilous techniques no ordinary physician would attempt. Acquire the knowledge to craft the following: - Poison Spraymist
Equipment & Magic, Items, Cookbooks            ;Perfumer's Cookbook (3)                   ;A record of crafting techniques left by a depraved perfumer. Contains perilous techniques no ordinary physician would attempt. Acquire the knowledge to craft the following: - Ironjar Aromatic
Equipment & Magic, Items, Cookbooks            ;Perfumer's Cookbook (4)                   ;A record of crafting techniques left by a depraved perfumer. Acquire the knowledge to craft the following: - Acid Spraymist
Equipment & Magic, Items, Cookbooks            ;Fevor'S Cookbook (1)                      ;A record of crafting techniques left by a man who was utterly captivated by St. Trina. He continued the search for her in his slumber. Acquire the knowledge to craft the following: - Sleep Pot
Equipment & Magic, Items, Cookbooks            ;Fevor's Cookbook (2)                      ;A record of crafting techniques left by a man who was utterly captivated by St. Trina. He continued the search for her in his slumber. Acquire the knowledge to craft the following: - Sleepbone Arrow
Equipment & Magic, Items, Cookbooks            ;Fevor's Cookbook (3)                      ;A record of crafting techniques left by a man who was utterly captivated by St. Trina. He continued the search for her in his slumber. Acquire the knowledge to craft the following: - Bewitching Branch
Equipment & Magic, Items, Cookbooks            ;Frenzied's Cookbook (1)                   ;A record of crafting techniques left by those afflicted by the madness of the flame of frenzy. Acquire the knowledge to craft the following: - Clarifying Boluses
Equipment & Magic, Items, Cookbooks            ;Frenzied's Cookbook (2)                   ;A record of crafting techniques left by those afflicted by the madness of the flame of frenzy. Contains techniques discovered in desperation. Acquire the knowledge to craft the following: - Frenzyflame Stone
Equipment & Magic, Items, Consumables          ;Flask of Crimson Tears                    ;A sacred flask modelled after a golden holy chalice that was once graced by a tear of life. Filled with crimson tears, this flask restores HP with use. It is said that a Finger Maiden will bestow two such chalices upon the chosen Tarnished when they meet.
Equipment & Magic, Items, Consumables          ;Flask of Cerulean Tears                   ;A sacred flask modelled after a golden holy chalice that was once graced by a tear of life. Filled with cerulean tears, this flask restores FP with use. It is said that a Finger Maiden will bestow two such chalices upon the chosen Tarnished when they meet.
Equipment & Magic, Items, Consumables          ;Flask of Wondrous Physick                 ;A relic of the physick chemists, priests of the Erdtree. Various special effects are bestowed upon the drinker, dependent on the specific mixture of crystal tears. Basins are placed at the feet of Minor Erdtrees throughout the Lands Between in order to collect their crystallized tears.
Equipment & Magic, Items, Consumables          ;Rune Arc                                  ;A shard of the shattered Elden Ring. Grants the blessing of an equipped Great Rune upon use. Even if no Great Rune is equipped, it will slightly increase maximum HP upon use. The lower arc of the Elden Ring is held to be the basin in which its blessings pool. Perhaps this shard originates from that very arc.
Equipment & Magic, Items, Consumables          ;Rainbow Stone                             ;Ruin Fragment that has undergone some simple processing. Stones such as these shine with the colors of the rainbow, making them useful markers when placed on the ground. Can also be dropped to gauge the distance of a fall. The higher the pitch of the sound, the higher the likelihood of the fall being fatal.
Equipment & Magic, Items, Consumables          ;Glowstone                                 ;Polished Ruin Fragment that shines brighter than Rainbow Stone. Emits light from the location it is placed, illuminating surroundings. May serve some benefit in dark places, or at night.
Equipment & Magic, Items, Consumables          ;Scriptstone                               ;Ruin Fragment with a cipher inscription. Uses FP to reveal more messages from other worlds. Words are gregarious things, drawn to one another much as people are.
Equipment & Magic, Items, Multiplayer Items    ;Furlcalling Finger Remedy                 ;Item for online play. Reveals cooperative and competitive multiplayer signs. Multiplayer begins when you summon a player from another world through their sign.
Equipment & Magic, Items, Multiplayer Items    ;Festering Bloody Finger                   ;Item for online play. Attempts an invasion of another player's world. This furled finger is blackened with blood congestion. It seems to have been chopped off rather unceremoniously.
Equipment & Magic, Items, Consumables          ;Magic Pot                                 ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Oil Pot                                   ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Fire Pot                                  ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Volcano Pot                               ;Powdered volcanic rock is sealed inside.
Equipment & Magic, Items, Consumables          ;Lightning Pot                             ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Holy Water Pot                            ;Craftable item prepared using a cracked pot.  Consumes FP. Throw at enemy to inflict holy damage. Highly effective against Those Who Live in Death, even preventing them from rising again.
Equipment & Magic, Items, Consumables          ;Poison Pot                                ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Fetid Pot                                 ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Swarm Pot                                 ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Sleep Pot                                 ;Craftable item prepared using a cracked pot.  Enchanted by the incantations of St. Trina.  Consumes FP. Throw enemies to cause buildup of sleep.  Like a lullaby, or a quagmire, its light-purple haze irresistibly draws its victims down into sleep. Sweet dreams.
Equipment & Magic, Items, Consumables          ;Rancor Pot                                ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Roped Magic Pot                           ;Craftable item prepared using a cracked pot. A cocktail of magically resonant materials is sealed inside. Called a 'faux sorcery' in Raya Lucaria. Consumes FP. Throw at rearward enemies to inflict magic damage.
Equipment & Magic, Items, Consumables          ;Roped Oil Pot                             ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Roped Fire Pot                            ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Roped Volcano Pot                         ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Roped Lightning Pot                       ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Roped Holy Water Pot                      ;Craftable item prepared using a cracked pot. Consumes FP. Throw at rearward enemies to inflict holy damage. Highly effective against Thos Who Live in Death, even preventing them from rising again.
Equipment & Magic, Items, Consumables          ;Roped Poison Pot                          ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Roped Fetid Pot                           ;Craftable item prepared using a cracked pot.
Equipment & Magic, Items, Consumables          ;Roped Fly Pot                             ;Craftable item prepared using a cracked pot.  A cocktail of effluents is sealed inside, and a short rope that aids throwing has been secured around the pot.  Throw at rearward enemies to release a swarm of flies. Their fangs inflict countless painful lacerations on the victim while the grating sound of their wings assails their sanity.  The maggots found in waste feed on blood and turn into vicious flies that are pitiably short-lived.
Equipment & Magic, Items, Consumables          ;Roped Freezing Pot                        ;Craftable with a cracked pot.  Frost has been sealed inside.   A short rope that aids throwing is attached.  Thrown at rearward enemies using the rope,  the pot explodes, causing frostbite buildup in enemies.
Equipment & Magic, Items, Consumables          ;Academy Magic Pot                         ;Craftable item prepared using a ritual pot.
Equipment & Magic, Items, Consumables          ;Redmane Fire Pot                          ;Craftable item prepared using a ritual pot.
Equipment & Magic, Items, Consumables          ;Giantsflame Fire Pot                      ;Craftable item prepared using a ritual pot.
Equipment & Magic, Items, Consumables          ;Ancient Dragonbolt Pot                    ;Craftable item prepared using a ritual pot.
Equipment & Magic, Items, Consumables          ;Sacred Order Pot                          ;Craftable item prepared using a ritual pot.
Equipment & Magic, Items, Consumables          ;Freezing Pot                              ;Craftable item prepared using a ritual pot.
Equipment & Magic, Items, Consumables          ;Rot Pot                                   ;Craftable item prepared using a ritual pot.
Equipment & Magic, Items, Consumables          ;Cursed-Blood Pot                          ;Craftable item prepared using a ritual pot.
Equipment & Magic, Items, Consumables          ;Alluring Pot                              ;Craftable item prepared using a ritual pot. Consumes FP. Throw to create a pale shadow. The illusion will lure in and distract foes of human build outside
Equipment & Magic, Items, Consumables          ;Beastlure Pot                             ;Craftable item prepared using a ritual pot.
Equipment & Magic, Items, Consumables          ;Albinauric Pot                            ;Craftable item prepared using a ritual pot.
Equipment & Magic, Items, Consumables          ;Magic Grease                              ;Solidified grease made from a mixture of magically resonant materials. Craftable item. Coats armament, adding magic damage to attacks.
Equipment & Magic, Items, Consumables          ;Fire Grease                               ;Solidified grease made from a mixture of incendiary materials. Craftable item. Coats armament, adding fire damage to attacks.
Equipment & Magic, Items, Consumables          ;Lightning Grease                          ;Solidified grease made from a mixture of fulminating materials. Craftable item. Coats armament, adds lightning damage to attacks.
Equipment & Magic, Items, Consumables          ;Holy Grease                               ;Solidified grease made from a mixture of holy resonant materials. Craftable item. Coats armament, adding holy damage to attacks.
Equipment & Magic, Items, Consumables          ;Poison Grease                             ;Solidified grease made from a mixture of poison-green materials. Craftable item. Coats armament, inflicting poison.
Equipment & Magic, Items, Consumables          ;Rot Grease                                ;Solidified grease made from a mixture of rotten materials. Craftable item. Coats armament, inflicting scarlet rot.
Equipment & Magic, Items, Consumables          ;Blood Grease                              ;Solidified grease made from a mixture of blood-red materials. Craftable item. Coats armament, inflicting blood loss.
Equipment & Magic, Items, Consumables          ;Freezing Grease                           ;Solidified grease made from a mixture of frozen materials.  Craftable item. Coats armament, inflicting frost. The effect lasts only for a short time.
Equipment & Magic, Items, Consumables          ;Soporific Grease                          ;Solidified grease made from a mixture of light-purple materials. Craftable item. Coats armament, inflicting sleep.
Equipment & Magic, Items, Consumables          ;Dragonwound Grease                        ;Solidified grease made from a mixture of gravels stones. Craftable item. Coats armament, granting anti-dragon effects. When the dragons were born from their ancient kin, they lost their stone scales, which can now be used to cause them mortal harm.
Equipment & Magic, Items, Consumables          ;Shield Grease                             ;Solidified grease made from a mixture of magically resonant materials. Craftable item. Coats left-hand armament, boosting guarding ability and all forms of damage negations. Primarily used on shields.
Equipment & Magic, Items, Consumables          ;Holy Water Grease                         ;Grease which holds the blessing of the Erdtree.  Craftable item.  Consumes FP when coated on weapon, allowing  it to deal magical damage and purify those who  have lived beyond death.  There is no place in the Golden Order for those  who have exceeded life's bounds. These blemishes  must be hunted down by the Virtuous.
Equipment & Magic, Items, Consumables          ;Drawstring Magic Grease                   ;Solidified grease made from a mixture of magically resonant materials. Craftable item. A short string is attached to this lump. Quickly coats armament, inflicting magic damage, but with a brief effect, owing to its small size.
Equipment & Magic, Items, Consumables          ;Drawstring Fire Grease                    ;Solidified grease made from a mixture of incendiary materials. Craftable item. Quickly coats armament, inflicting fire damage, but with a brief effect, owing to its small size.
Equipment & Magic, Items, Consumables          ;Drawstring Holy Grease                    ;Solidified grease made from a mixture of holy resonant materials. Craftable item. Quickly coats armament, inflicting holy damage, but with a brief effect, owing to its small size.
Equipment & Magic, Items, Consumables          ;Drawstring Lightning Grease               ;Solidified grease made from a mixture of fulminating materials. Craftable item. Quickly coats armament, inflicting lightning damage, but with a brief effect, owing to its small size.
Equipment & Magic, Items, Consumables          ;Drawstring Poison Grease                  ;Solidified grease made from a mixture of poison-green materials. Craftable item. Quickly coats armament, inflicting poison, but with a brief effect, owing to its small size.
Equipment & Magic, Items, Consumables          ;Drawstring Rot Grease                     ;Solidified grease made from a mixture of rotten materials. Craftable item. Quickly coats armament, inflicting scarlet rot, but with a brief effect, owing to its small size.
Equipment & Magic, Items, Consumables          ;Drawstring Blood Grease                   ;Blistered solid grease made from a mixture of blood-red materials. Craftable item. A short string is attached to this lump. Quickly coats armament, inflicting blood loss, but with a brief effect, owing to its small size.
Equipment & Magic, Items, Consumables          ;Drawstring Freezing Grease                ;Solidified grease made using Rani's furtive arts.  Craftable item. A short string is attached to this lump.  Quickly coats weapon, inflicting frostbite. The women of the Carian royal family look to the moon to guide their fates. Rani's is a moon dark and blanketed with rime.
Equipment & Magic, Items, Consumables          ;Drawstring Soporific Grease               ;Solidified grease made from a mixture of light-purple materials. Craftable item. Quickly coats armament, inflicting sleep, but with a brief effect, owing to its small size.
Equipment & Magic, Items, Consumables          ;Poison Spraymist                          ;Forbidden art of depraved perfumers.  Uses FP to release a poison mist from user's mouth, causing a buildup of poison. Perfumed powder is held in the mouth to dissolve before being expelled. It was once a restorative art, or so it is said.
Equipment & Magic, Items, Consumables          ;Acid Spraymist                            ;Forbidden art of depraved perfumers. Uses FP to release an acidic mist from user's mouth, damaging armaments and temporarily lowering attack power. Perfumed powder is held in the mouth to dissolve before being expelled. It was once a restorative art, or so it is said.
Equipment & Magic, Items, Consumables          ;Ironjar Aromatic                          ;Forbidden art of depraved perfumers. Uses FP to temporarily turn body to steel, boosting poise, resistances and damage negation at the expense of mobility and vulnerability to lightning. An art that requires fragments of hunted noble jars. Depraved perfumers are plainly in league with jar poachers.
Equipment & Magic, Items, Consumables          ;Bloodboil Aromatic                        ;"Forbidden art of depraved perfumers.  Uses FP to enter a temporary state of fervor, raising maximum attack power and stamina while also increasing damage received. ""Even upon the battlefield, do you fear being wounded? Take a good look. Your limbs are frozen stiff.""  "
Equipment & Magic, Items, Consumables          ;Spark Aromatic                            ;Art of the perfumers who fought In the Shattering. Uses FP to broadly scatter sparks in a wide arc straight ahead. Though fire was prohibited to those who served the Erdtree, this rule was forgotten as the war drew ever on.
Equipment & Magic, Items, Consumables          ;Uplifting Aromatic                        ;Art of the perfumers who fought in the Shattering. Uses FP to raise the attack power of the user and nearby allies while also reducing the damage from one incoming attack by half.
Equipment & Magic, Items, Consumables          ;Neutralizing Boluses                      ;Green boluses made from cave moss. Alleviates poison buildup and cures poison ailment. Poison accumulates gradually, coming into effect once the threshold is reached. Poison ailment lowers HP in steady increments for a period.
Equipment & Magic, Items, Consumables          ;Preserving Boluses                        ;Scarlet boluses made of cave moss. Alleviates scarlet rot buildup and cures rot aliment. Scarlet rot accumulates gradually, coming into effect once the threshold is reached. Scarlet rot ailment greatly lowers HP in steady increments for a period.
Equipment & Magic, Items, Consumables          ;Stanching Boluses                         ;Red boluses made from cave moss. Alleviates impending blood loss. Blood loss escalates gradually, causing great damage once the threshold is reached.  Take one of these in timely fashion to avoid such an event.
Equipment & Magic, Items, Consumables          ;Thawfrost Boluses                         ;Ice-hued boluses made from cave moss. Alleviates buildup of frost and cures frostbite ailments. Frost accumulates gradually, causing damage and inflicting frostbite once the threshold is reached.
Equipment & Magic, Items, Consumables          ;Stimulating Boluses                       ;Light-purple boluses made from cave moss. Alleviates buildup of sleep. Sleep accumulates gradually, causing sudden fogginess and loss of FP once the threshold is reached, even if it does not force the afflicted into true slumber. Take one of these in a timely fashion to avoid such events.
Equipment & Magic, Items, Consumables          ;Clarifying Boluses                        ;Yellow boluses made of cave moss. Alleviates madness buildup. Take one of these in timely fashion to avoid such events.
Equipment & Magic, Items, Consumables          ;Rejuvenating Boluses                      ;Black boluses made of cave moss. Alleviates death blight buildup. Blight accumulates slowly, causing instant death once the threshold is reached.  Take one of these in timely fashion to avoid such an event.
Equipment & Magic, Items, Consumables          ;Dappled Cured Meat                        ;Cured strip of meat, dried out after pickling in a dappled medicinal solution. Temporarily boosts immunity, robustness, and focus.
Equipment & Magic, Items, Consumables          ;Immunizing Cured Meat                     ;Cured strip of meat, dried out after pickling in a green medicinal solution.  Craftable item. Temporarily boosts immunity. Higher immunity helps to mitigate the buildup of various poisons and scarlet rot.
Equipment & Magic, Items, Consumables          ;Invigorating Cured Meat                   ;Cured strip of meat, dried out after pickling in a red medicinal solution. Temporarily boosts robustness. Higher robustness helps to mitigate the buildup of frost and blood loss.
Equipment & Magic, Items, Consumables          ;Clarifying Cured Meat                     ;Cured strip of meat, dried out after pickling in a purple medicinal solution. Temporarily boosts focus. Higher focus helps to mitigate the buildup of sleep and madness.
Equipment & Magic, Items, Consumables          ;Deathsbane Jerky                          ;A grey colored cured liver, dried out  after pickling in a medicinal solution.  Craftable item.  Boosts instant death resistance  for a short time.
Equipment & Magic, Items, Consumables          ;Dappled White Cured Meat                  ;A white sliced meat, dried out after pickling in a dappled medicinal solution. Temporarily boosts immunity, robustness, and focus. Lasts longer than traditional cured meat, but with reduced effectiveness.
Equipment & Magic, Items, Consumables          ;Immunizing White Cured Meat               ;A white sliced meat, dried out after pickling in a green medicinal solution. Temporarily boosts immunity. Lasts longer than traditional cured meat, but with reduced effectiveness.
Equipment & Magic, Items, Consumables          ;Invigorating White Cured Meat             ;A white sliced meat, dried out after pickling in a red medicinal solution. Temporarily boosts robustness. Lasts longer than traditional cured meat, but with reduced effectiveness.
Equipment & Magic, Items, Consumables          ;Clarifying White Cured Meat               ;A white sliced meat, dried out after pickling in a purple medicinal solution. Temporarily boosts focus. Lasts longer than traditional cured meat, but with reduced effectiveness.
Equipment & Magic, Items, Consumables          ;Deathsbane White Jerky                    ;A black-gold colored cured liver, dried out after pickling in a medicinal solution.  Craftable item.  Boosts resistance to instant death for a short time.  The blood has been properly drained, giving it a longer effect than traditional dried meat.
Equipment & Magic, Items, Consumables          ;Fireproof Dried Liver                     ;Cured animal liver, dried out after pickling in a red medicinal solution. Temporarily boosts fire damage negation, improving damage mitigation against attacks imbued with fire.
Equipment & Magic, Items, Consumables          ;Spellproof Dried Liver                    ;Cured animal liver, dried out after pickling in a blue medicinal solution. Temporarily boosts magic damage negation, improving damage mitigation against attacks imbued with magic.
Equipment & Magic, Items, Consumables          ;Lightningproof Dried Liver                ;Cured animal liver, dried out after pickling in an yellow medicinal solution. Temporarily boosts lightning damage negation, improving damage mitigation against attacks imbued with lightning.
Equipment & Magic, Items, Consumables          ;Holyproof Dried Liver                     ;Cured animal liver, dried out after pickling in a golden medicinal solution. Temporarily boosts holy damage negation, improving damage mitigation against attacks imbued with holiness.
Equipment & Magic, Items, Consumables          ;Boiled Prawn                              ;Boiled prawn meat. Boosts physical damage negation for a certain duration, The meat actually looks to have come from a crayfish. Not that it matters, it's delicious all the same.
Equipment & Magic, Items, Consumables          ;Boiled Crab                               ;"Boiled crab meat. Greatly boosts physical damage negation for a certain duration, Unlike the ""prawn"" sold, this truly is crab. Not that it matters, it's delicious all the same. "
Equipment & Magic, Items, Consumables          ;Soft Cotton                               ;A soft but sturdy cotton formed from splitting open Rowa fruit in a particular manner. Craftable item. Attaching this cotton to the bottom of one's feet allows for a temporary reduction in fall damage and sound. If you must court danger, at the very least, tread lightly.
Equipment & Magic, Items, Consumables          ;Bone Dart                                 ;Animal bone sharpened into a knife for throwing. Throw at enemies to inflict damage.
Equipment & Magic, Items, Consumables          ;Throwing Dagger                           ;Short dagger for throwing. It has no handguard. Throw at enemies to deal damage. This auxiliary weapon, used primarily to constrain an enemy's movements, can still be deadly in the right hands.
Equipment & Magic, Items, Consumables          ;Crystal Dart                              ;Throwing knife chiseled from impure crystal. Consumes FP. Throw at enemies to deal magic damage.
Equipment & Magic, Items, Consumables          ;Fan Daggers                               ;A set of five throwing knives bundled together. The thin knives fan out when thrown, dealing damage to the target.
Equipment & Magic, Items, Consumables          ;Kukri                                     ;A large knife used for throwing. Throw at enemies to inflict damage and build up onset of blood loss. This heavy throwing weapon is unsuitable for swift attacks, but is able to inflict heavy damage.
Equipment & Magic, Items, Consumables          ;Poisonbone Dart                           ;Animal bone sharpened into a knife for throwing, with a poison-laced tip. Throw at enemies to inflict damage and build up poison.
Equipment & Magic, Items, Consumables          ;Explosive Stone                           ;A small stone with a smoldering core. Explodes when thrown at enemies, inflicting fire damage. Miners employ these stones as tools for rock blasting, but have long forgotten how to craft them.
Equipment & Magic, Items, Consumables          ;Explosive Stone Clump                     ;A clump of small stones with smoldering cores. Explodes when thrown together at enemies, inflicting fire damage. Miners employ these stones as tools for rock blasting, but have long forgotten how to craft them.
Equipment & Magic, Items, Materials            ;Glintstone Scrap                          ;Piece of glintstone tinged with unstable magic. Found in crystal tunnels.
Equipment & Magic, Items, Consumables          ;Large Glintstone Scrap                    ;Large piece of glintstone tinged with unstable magic. Found in crystal tunnels. Break gem, using FP to produce a magic bolt. Poor quality and thereby easily broken, a sorcerer wouldn't give it a second look.
Equipment & Magic, Items, Consumables          ;Cuckoo Glintstone                         ;"Lump of broken glintstone enwreathed with magic power. A ""faux sorcery"" used by the Knights of the Cuckoo. Craftable item. "
Equipment & Magic, Items, Consumables          ;Heavy Meteorite Fragment                  ;"Shard of rock found in the wake of a meteorite strike. It is imbued with a particularly weighty magic. Consumes FP. Throw at the ground to create a gravitational shockwave. The desperate ones who scavenge for these shards dub themselves ""starcallers"". "
Equipment & Magic, Items, Consumables          ;Gravity Stone Chunk                       ;"Shard of rock found in the wake of a meteorite strike. It is imbued with a particularly weighty magic. Throw at enemies, using FP to cause a gravitational explosion. The desperate ones who scavenge for these shards dub themselves ""starcallers."" "
Equipment & Magic, Items, Consumables          ;Gravity Stone Fan                         ;"Shard of rock found in the wake of a meteorite strike. It is imbued with a particularly weighty magic. Uses FP to emit gravitational shockwave. The desperate ones which scavenge for these shards dub themselves ""starcallers."" "
Equipment & Magic, Items, Consumables          ;Poisoned Stone                            ;A small stone with a poisoned core. Throw at enemies to cause buildup of poison. Miners employ these stones as tools for pest extermination, but have long forgotten how to craft them.
Equipment & Magic, Items, Consumables          ;Poisoned Stone Clump                      ;A clump of small stones with poison cores. Throw together at enemies to cause buildup of poison. Miners employ these stones as tools for pest extermination, but have long forgotten how to craft them.
Equipment & Magic, Items, Consumables          ;Raw Meat Dumpling                         ;A pungent raw meatball, made succulent by virtue of being on the verge of turning. Restores HP but also poisons the user. Not recommended for those who prefer to know the origin of their meats.
Equipment & Magic, Items, Consumables          ;Warming Stone                             ;Ruin Fragment blessed with an incantation of the Two Fingers.  Uses FP to generate warmth, continuously restoring the HP of those nearby. It's said that the Erdtree was once as warm as the gentle sun, and would gradually heal all who bathed in its rays.
Equipment & Magic, Items, Consumables          ;Frenzyflame Stone                         ;Ruin Fragment blessed with an incantation of the Three Fingers. Uses FP to generate warmth, continuously restoring the HP of those who host the frenzied flame. Confers madness upon those who have not adopted the flame.
Equipment & Magic, Items, Consumables          ;Rowa Raisin                               ;Preparation of dried Rowa fruit.  Craftable item. Feed to Torrent, the spectral steed, while riding to restore his HP. Humans are unable to digest Rowa fruit, but Torrent seems to have a taste for it.
Equipment & Magic, Items, Consumables          ;Sweet Raisin                              ;Preparation of dried Golden Rowa fruit. Feed to Torrent, the spectral steed, while riding to greatly restore his HP Golden Rowa fruit is not unlike honey, and Torrent seems to have a taste for it.
Equipment & Magic, Items, Consumables          ;Frozen Raisin                             ;Preparation of dried Rimed Rowa. Feed to Torrent, the spectral steed, while riding to vastly restore his HP. Torrent seems to enjoy the sensation of chewing this frozen, dried seed.
Equipment & Magic, Items, Consumables          ;Gold-Pickled Fowl Foot                    ;Four-toed foot of a fowl, pickled in a golden medicinal solution. Boosts the amount of runes obtained from defeating enemies for a certain duration. Since old times, the needy would scrape the meat clean even from a fowl's claw.
Equipment & Magic, Items, Consumables          ;Silver-Pickled Fowl Foot                  ;Four-toed foot of a fowl, pickled in a silvery medicinal solution.  Craftable item. Temporarily boosts item discovery. Since old times, the needy would scrape the meat clean even from a fowl's claw.
Equipment & Magic, Items, Consumables          ;Exalted Flesh                             ;A lump of animal flesh pickled in a medicinal solution mixed with fiery spices. Temporarily boosts physical attack. Considered a delicacy in the badlands, this invigorating repast was for the exclusive benefit of those who they deem heroes.
Equipment & Magic, Items, Consumables          ;Fetid Flesh                               ;A lump of beast flesh pickled in egg wash.  Craftable item.  Beasts are highly attracted to its scent.  The rancid scent prevents ingestion by any  ordinary human.
Equipment & Magic, Items, Consumables          ;Pickled Turtle Neck                       ;Turtle neck meat, pickled in a bitter medicinal solution. Craftable item. Temporarily boosts stamina recovery. The nutrients churn through the body, practically boiling out endless power.
Equipment & Magic, Items, Consumables          ;Baldachin's Blessing                      ;Favor bestowed by a deathbed companion. Protection of a hidden temple in the guise of a bedchamber. Uses FP to temporarily boost poise. The favor allows one to forget any aches and pains. In Death, there is only peace, for in Death, there can be no sensation.
Equipment & Magic, Items, Consumables          ;Radiant Baldachin's Blessing              ;Protection of a hidden temple in the guise of a bedchamber. This blessing is of the utmost rarity. Uses FP to temporarily raise poise.  It's said a deathbed companion will only produce a blessing of this kind for a champion but once in her entire life. The sole blessing which she imbues of her own volition.
Equipment & Magic, Items, Consumables          ;Bewitching Branch                         ;Tree branch blessed with an incantation of unalloyed gold. Pierce a foe, using FP to turn them into a temporary ally. The Empyrean Miquella is loved by many people. Indeed, he has learned very well how to compel such affection.
